metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
snapt.balancer.backend.requests.tot_rate,gauge,,request,second,Rate of total number of backend HTTP requests (legacy check only).,0,snapt_balancer,backend total req rate
snapt.balancer.backend.session.current,gauge,,connection,,Number of active backend sessions (legacy check only).,0,snapt_balancer,backend sess
snapt.balancer.backend.session.limit,gauge,,connection,,Configured backend session limit (legacy check only).,0,snapt_balancer,backend sess lim
snapt.balancer.backend.session.pct,gauge,,percent,,"Percentage of sessions in use (backend.session.current/backend.session.limit * 100, legacy check only).",-1,snapt_balancer,backend sess pct
snapt.balancer.backend.session.rate,gauge,,connection,second,Number of backend sessions created per second (legacy check only).,0,snapt_balancer,backend sess rate
snapt.balancer.backend.session.time,gauge,,millisecond,,Average total session time over the last 1024 requests (legacy check only).,0,snapt_balancer,backend sess time
snapt.balancer.backend.uptime,gauge,,second,,Number of seconds since the last UP<->DOWN transition (legacy check only),0,snapt_balancer,backend uptime
snapt.balancer.backend.warnings.redis_rate,gauge,,error,second,Number of times a request was redispatched to another server (legacy check only).,-1,snapt_balancer,backend warn redis rate
snapt.balancer.backend.warnings.retr_rate,gauge,,error,second,Number of times a connection to a server was retried (legacy check only).,-1,snapt_balancer,backend warn retry rate
snapt.balancer.count_per_status,gauge,,host,,Number of hosts by status (UP/DOWN/NOLB/MAINT) (legacy check only).,0,snapt_balancer,hosts status
snapt.balancer.frontend.bytes.in.total,count,,byte,,Current total of incoming bytes. By default submitted as count if using prometheus,0,snapt_balancer,
snapt.balancer.frontend.bytes.out.total,count,,byte,,Current total of outgoing bytes. By default submitted as count if using prometheus,0,snapt_balancer,
snapt.balancer.frontend.connections.rate.max,gauge,,,,Maximum observed number of connections per second.,0,snapt_balancer,
snapt.balancer.frontend.connections.total,count,,,,Total number of connections.,0,snapt_balancer,
snapt.balancer.frontend.current.sessions,gauge,,,,Current number of active sessions.,0,snapt_balancer,
snapt.balancer.frontend.denied.connections.total,count,,,,Total number of requests denied by 'tcp-request connection' rules.,0,snapt_balancer,
snapt.balancer.frontend.denied.sessions.total,count,,,,Total number of requests denied by 'tcp-request session' rules.,0,snapt_balancer,
snapt.balancer.frontend.failed.header.rewriting.total,count,,,,Total number of failed header rewriting warnings.,0,snapt_balancer,
snapt.balancer.frontend.http.cache.hits.total,count,,,,Total number of HTTP cache hits.,0,snapt_balancer,
snapt.balancer.frontend.http.cache.lookups.total,count,,,,Total number of HTTP cache lookups.,0,snapt_balancer,
snapt.balancer.frontend.http.comp.bytes.bypassed.total,count,,byte,,Total number of bytes that bypassed the HTTP compressor (CPU/BW limit).,0,snapt_balancer,
snapt.balancer.frontend.http.comp.bytes.in.total,count,,byte,,Total number of HTTP response bytes fed to the compressor.,0,snapt_balancer,
snapt.balancer.frontend.http.comp.bytes.out.total,count,,byte,,Total number of HTTP response bytes emitted by the compressor.,0,snapt_balancer,
snapt.balancer.frontend.http.comp.responses.total,count,,,,Total number of HTTP responses that were compressed.,0,snapt_balancer,
snapt.balancer.frontend.http.requests.rate.max,gauge,,,,Maximum observed number of HTTP requests per second.,0,snapt_balancer,
snapt.balancer.frontend.http.requests.total,count,,,,Total number of HTTP requests received.,0,snapt_balancer,
snapt.balancer.frontend.http.responses.total,count,,,,Total number of HTTP responses.,0,snapt_balancer,
snapt.balancer.frontend.intercepted.requests.total,count,,,,Total number of intercepted HTTP requests.,0,snapt_balancer,
snapt.balancer.frontend.internal.errors.total,count,,,,Total number of internal errors since process started (since >= 2.2).,0,snapt_balancer,
snapt.balancer.frontend.limit.session.rate,gauge,,,,Configured limit on new sessions per second.,0,snapt_balancer,
snapt.balancer.frontend.limit.sessions,gauge,,,,Configured session limit.,0,snapt_balancer,
snapt.balancer.frontend.max.session.rate,gauge,,,,Maximum observed number of sessions per second.,0,snapt_balancer,
snapt.balancer.frontend.max.sessions,gauge,,,,Maximum observed number of active sessions.,0,snapt_balancer,
snapt.balancer.frontend.request.errors.total,count,,,,Total number of request errors.,0,snapt_balancer,
snapt.balancer.frontend.requests.denied.total,count,,,,Total number of denied requests.,0,snapt_balancer,
snapt.balancer.frontend.responses.denied.total,count,,,,Total number of denied responses.,0,snapt_balancer,
snapt.balancer.frontend.sessions.total,count,,,,Total number of sessions.,0,snapt_balancer,
snapt.balancer.frontend.status,gauge,,,,"Current status of the service. <= 2.3: gauge value determines state (frontend: 0=STOP, 1=UP, 2=FULL - backend: 0=DOWN, 1=UP - server: 0=DOWN, 1=UP, 2=MAINT, 3=DRAIN, 4=NOLB). >= 2.4 per state label value.",0,snapt_balancer,
snapt.balancer.frontend.bytes.in_rate,gauge,,byte,second,Rate of bytes in on frontend hosts (legacy check only).,0,snapt_balancer,frontend bytes in rate
snapt.balancer.frontend.bytes.out_rate,gauge,,byte,second,Rate of bytes out on frontend hosts (legacy check only).,0,snapt_balancer,frontend bytes out rate
snapt.balancer.frontend.connections.rate,gauge,,connection,second,Number of connections per second (legacy check only).,0,snapt_balancer,frontend connections rate
snapt.balancer.frontend.connections.tot_rate,gauge,,connection,second,Rate of total number of frontend connections (legacy check only).,0,snapt_balancer,frontend tot connections rate
snapt.balancer.frontend.denied.req_rate,gauge,,request,second,Number of frontend requests denied due to security concerns (legacy check only).,-1,snapt_balancer,frontend den req rate
snapt.balancer.frontend.denied.resp_rate,gauge,,response,second,Number of frontend responses denied due to security concerns (legacy check only).,-1,snapt_balancer,frontend den resp rate
snapt.balancer.frontend.errors.req_rate,gauge,,error,second,Rate of frontend request errors (legacy check only).,-1,snapt_balancer,frontend err req rate
snapt.balancer.frontend.requests.intercepted,gauge,,request,second,Number of intercepted frontend requests per second (legacy check only).,0,snapt_balancer,frontend intercepted req rate
snapt.balancer.frontend.requests.rate,gauge,,request,second,Number of frontend HTTP requests per second (legacy check only).,0,snapt_balancer,frontend req rate
snapt.balancer.frontend.requests.tot_rate,gauge,,request,second,Rate of total number of frontend HTTP requests (legacy check only).,0,snapt_balancer,frontend total req rate
snapt.balancer.frontend.response.1xx,gauge,,response,,Frontend HTTP responses with 1xx code (legacy check only).,0,snapt_balancer,frontend resp 1xx
snapt.balancer.frontend.response.2xx,gauge,,response,,Frontend HTTP responses with 2xx code (legacy check only).,0,snapt_balancer,frontend resp 2xx
snapt.balancer.frontend.response.3xx,gauge,,response,,Frontend HTTP responses with 3xx code (legacy check only).,0,snapt_balancer,frontend resp 3xx
snapt.balancer.frontend.response.4xx,gauge,,response,,Frontend HTTP responses with 4xx code (legacy check only).,-1,snapt_balancer,frontend resp 4xx
snapt.balancer.frontend.response.5xx,gauge,,response,,Frontend HTTP responses with 5xx code (legacy check only).,-1,snapt_balancer,frontend resp 5xx
snapt.balancer.frontend.response.other,gauge,,response,,Frontend HTTP responses with other code (protocol error) (legacy check only).,0,snapt_balancer,frontend resp other
snapt.balancer.frontend.session.current,gauge,,connection,,Number of active frontend sessions (legacy check only).,0,snapt_balancer,frontend sess
snapt.balancer.frontend.session.limit,gauge,,connection,,Configured frontend session limit (legacy check only).,0,snapt_balancer,frontend sess lim
snapt.balancer.frontend.session.pct,gauge,,percent,,"Percentage of sessions in use (frontend.session.current/frontend.session.limit * 100, legacy check only).",-1,snapt_balancer,frontend sess pct
snapt.balancer.frontend.session.rate,gauge,,connection,second,Number of frontend sessions created per second (legacy check only).,0,snapt_balancer,frontend sess rate
snapt.balancer.listener.bytes.in.total,count,,,,Total number of request bytes since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.bytes.out.total,count,,,,Total number of response bytes since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.current.sessions,gauge,,,,"Number of current sessions on the frontend, backend or server (>= 2.4).",0,snapt_balancer,
snapt.balancer.listener.denied.connections.total,count,,,,Total number of incoming connections blocked on a listener/frontend by a tcp-request connection rule since the worker process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.denied.sessions.total,count,,,,Total number of incoming sessions blocked on a listener/frontend by a tcp-request connection rule since the worker process started,0,snapt_balancer,
snapt.balancer.listener.failed.header.rewriting.total,count,,,,Total number of failed HTTP header rewrites since the worker process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.internal.errors.total,count,,,,Total number of internal errors since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.limit.sessions,gauge,,,,"Frontend/listener/server's maxconn, backend's fullconn (>= 2.4).",0,snapt_balancer,
snapt.balancer.listener.max.sessions,gauge,,,,Highest value of current sessions encountered since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.request.errors.total,count,,,,Total number of invalid requests since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.requests.denied.total,count,,,,Total number of denied requests since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.responses.denied.total,count,,,,Total number of denied responses since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.sessions.total,count,,,,Total number of sessions since process started (>= 2.4).,0,snapt_balancer,
snapt.balancer.listener.status,gauge,,,,"Current status of the service, per state label value (>= 2.4).",0,snapt_balancer,
snapt.balancer.process.active.peers,gauge,,,,Current number of active peers.,0,snapt_balancer,
snapt.balancer.process.build_info,gauge,,,,Build info.,0,snapt_balancer,
snapt.balancer.process.busy.polling.enabled,gauge,,,,Non zero if the busy polling is enabled.,0,snapt_balancer,
snapt.balancer.process.bytes.out.rate,gauge,,,,Number of bytes emitted by current worker process over the last second (>= 2.3).,0,snapt_balancer,
snapt.balancer.process.bytes.out.total,count,,,,Total number of bytes emitted by current worker process since started (>= 2.3).,0,snapt_balancer,
snapt.balancer.process.connected.peers,gauge,,,,Current number of connected peers.,0,snapt_balancer,
snapt.balancer.process.connections.total,count,,,,Total number of created sessions.,0,snapt_balancer,
snapt.balancer.process.current.backend.ssl.key.rate,gauge,,,,Current backend SSL Key computation per second over last elapsed second.,0,snapt_balancer,
snapt.balancer.process.current.connection.rate,gauge,,,,Current number of connections per second over last elapsed second.,0,snapt_balancer,
snapt.balancer.process.current.connections,gauge,,,,Number of active sessions.,0,snapt_balancer,
snapt.balancer.process.current.frontend.ssl.key.rate,gauge,,,,Current frontend SSL Key computation per second over last elapsed second.,0,snapt_balancer,
snapt.balancer.process.current.run.queue,gauge,,,,Current number of tasks in the run-queue.,0,snapt_balancer,
snapt.balancer.process.current.session.rate,gauge,,,,Current number of sessions per second over last elapsed second.,0,snapt_balancer,
snapt.balancer.process.current.ssl.connections,gauge,,,,Number of opened SSL connections.,0,snapt_balancer,
snapt.balancer.process.current.ssl.rate,gauge,,,,Current number of SSL sessions per second over last elapsed second.,0,snapt_balancer,
snapt.balancer.process.current.tasks,gauge,,,,Current number of tasks.,0,snapt_balancer,
snapt.balancer.process.current.zlib.memory,gauge,,,,Current memory used for zlib in bytes.,0,snapt_balancer,
snapt.balancer.process.dropped.logs.total,count,,,,Total number of dropped logs.,0,snapt_balancer,
snapt.balancer.process.failed.resolutions,count,,,,Total number of failed DNS resolutions in current worker process since started (>= 2.3).,0,snapt_balancer,
snapt.balancer.process.frontend.ssl.reuse,gauge,,,,SSL session reuse ratio (percent).,0,snapt_balancer,
snapt.balancer.process.hard.max.connections,gauge,,,,Initial Maximum number of concurrent connections.,0,snapt_balancer,
snapt.balancer.process.http.comp.bytes.in.total,count,,byte,,"Number of bytes per second over last elapsed second, before http compression.",0,snapt_balancer,
snapt.balancer.process.http.comp.bytes.out.total,count,,byte,,"Number of bytes per second over last elapsed second, after http compression.",0,snapt_balancer,
snapt.balancer.process.idle.time.percent,gauge,,,,Idle to total ratio over last sample (percent).,0,snapt_balancer,
snapt.balancer.process.jobs,gauge,,,,"Current number of active jobs (listeners, sessions, open devices).",0,snapt_balancer,
snapt.balancer.process.limit.connection.rate,gauge,,,,Configured maximum number of connections per second.,0,snapt_balancer,
snapt.balancer.process.limit.http.comp,gauge,,,,Configured maximum input compression rate in bytes.,0,snapt_balancer,
snapt.balancer.process.limit.session.rate,gauge,,,,Configured maximum number of sessions per second.,0,snapt_balancer,
snapt.balancer.process.limit.ssl.rate,gauge,,,,Configured maximum number of SSL sessions per second.,0,snapt_balancer,
snapt.balancer.process.listeners,gauge,,,,Current number of active listeners.,0,snapt_balancer,
snapt.balancer.process.max.backend.ssl.key.rate,gauge,,,,Maximum observed backend SSL Key computation per second.,0,snapt_balancer,
snapt.balancer.process.max.connection.rate,gauge,,,,Maximum observed number of connections per second.,0,snapt_balancer,
snapt.balancer.process.max.connections,gauge,,,,Maximum number of concurrent connections.,0,snapt_balancer,
snapt.balancer.process.max.fds,gauge,,,,Maximum number of open file descriptors; 0=unset.,0,snapt_balancer,
snapt.balancer.process.max.frontend.ssl.key.rate,gauge,,,,Maximum observed frontend SSL Key computation per second.,0,snapt_balancer,
snapt.balancer.process.max.memory.bytes,gauge,,,,Per-process memory limit (in bytes); 0=unset.,0,snapt_balancer,
snapt.balancer.process.max.pipes,gauge,,,,Configured maximum number of pipes.,0,snapt_balancer,
snapt.balancer.process.max.session.rate,gauge,,,,Maximum observed number of sessions per second.,0,snapt_balancer,
snapt.balancer.process.max.sockets,gauge,,,,Maximum number of open sockets.,0,snapt_balancer,
snapt.balancer.process.max.ssl.connections,gauge,,,,Configured maximum number of concurrent SSL connections.,0,snapt_balancer,
snapt.balancer.process.max.ssl.rate,gauge,,,,Maximum observed number of SSL sessions per second.,0,snapt_balancer,
snapt.balancer.process.max.zlib.memory,gauge,,,,Configured maximum amount of memory for zlib in bytes.,0,snapt_balancer,
snapt.balancer.process.nbproc,gauge,,,,Configured number of processes.,0,snapt_balancer,
snapt.balancer.process.nbthread,gauge,,,,Configured number of threads.,0,snapt_balancer,
snapt.balancer.process.pipes.free.total,count,,,,Number of pipes unused.,0,snapt_balancer,
snapt.balancer.process.pipes.used.total,count,,,,Number of pipes in used.,0,snapt_balancer,
snapt.balancer.process.pool.allocated.bytes,gauge,,,,Total amount of memory allocated in pools (in bytes).,0,snapt_balancer,
snapt.balancer.process.pool.failures.total,count,,,,Total number of failed pool allocations.,0,snapt_balancer,
snapt.balancer.process.pool.used.bytes,gauge,,,,Total amount of memory used in pools (in bytes).,0,snapt_balancer,
snapt.balancer.process.recv.logs.total,count,,,,"Total number of log messages received by log-forwarding listeners on this worker process since started (>= 2.4).",0,snapt_balancer,
snapt.balancer.process.relative.process.id,gauge,,,,"Relative process id, starting at 1.",0,snapt_balancer,
snapt.balancer.process.requests.total,count,,,,Total number of requests (TCP or HTTP).,0,snapt_balancer,
snapt.balancer.process.spliced.bytes.out.total,count,,,,Total number of bytes emitted by current worker process through a kernel pipe since started (>= 2.3).,0,snapt_balancer,
snapt.balancer.process.ssl.cache.lookups.total,count,,,,Total number of SSL session cache lookups.,0,snapt_balancer,
snapt.balancer.process.ssl.cache.misses.total,count,,,,Total number of SSL session cache misses.,0,snapt_balancer,
snapt.balancer.process.ssl.connections.total,count,,,,Total number of opened SSL connections.,0,snapt_balancer,
snapt.balancer.process.start.time.seconds,gauge,,,,Start time in seconds.,0,snapt_balancer,
snapt.balancer.process.stopping,gauge,,,,Non zero means stopping in progress.,0,snapt_balancer,
snapt.balancer.process.unstoppable.jobs,gauge,,,,Current number of active jobs that can't be stopped during a soft stop.,0,snapt_balancer,
snapt.balancer.process.uptime.seconds,gauge,,,,How long ago this worker process was started (>= 2.4).,0,snapt_balancer,
snapt.balancer.server.bytes.in.total,count,,byte,,Current total of incoming bytes.,0,snapt_balancer,
snapt.balancer.server.bytes.out.total,count,,byte,,Current total of outgoing bytes.,0,snapt_balancer,
snapt.balancer.server.check.code,gauge,,,,"layer5-7 code, if available of the last health check. (>= 2.0)",0,snapt_balancer,
snapt.balancer.server.check.duration.seconds,gauge,,second,,Previously run health check duration (>= 2.0),0,snapt_balancer,
snapt.balancer.server.check.failures.total,count,,,,Total number of failed check (Only counts checks failed when the server is up).,0,snapt_balancer,
snapt.balancer.server.check.last.change.seconds,gauge,,second,,Number of seconds since the last UP<->DOWN transition. (>= 2.0),0,snapt_balancer,
snapt.balancer.server.check.status,gauge,,,,"Status of last health check, if enabled.. <= 2.3 HCHK_STATUS_* values in snapt_balancer doc. >= 2.4 per state label value.",0,snapt_balancer,
snapt.balancer.server.check.up.down.total,count,,,,Total number of UP->DOWN transitions.,0,snapt_balancer,
snapt.balancer.server.client.aborts.total,count,,,,Total number of data transfers aborted by the client.,0,snapt_balancer,
snapt.balancer.server.connect.time.average.seconds,gauge,,,,Avg. connect time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.server.connection.attempts.total,count,,,,Total number of connection establishment attempts.,0,snapt_balancer,
snapt.balancer.server.connection.errors.total,count,,,,Total number of connection errors.,0,snapt_balancer,
snapt.balancer.server.connection.reuses.total,count,,,,Total number of connection reuses.,0,snapt_balancer,
snapt.balancer.server.current.queue,gauge,,,,Current number of queued requests.,0,snapt_balancer,
snapt.balancer.server.current.sessions,gauge,,,,Current number of active sessions.,0,snapt_balancer,
snapt.balancer.server.current.throttle,gauge,,,,"Current throttle percentage for the server, when slowstart is active, or no value if not in slowstart.",0,snapt_balancer,
snapt.balancer.server.downtime.seconds.total,count,,,,Total downtime (in seconds) for the service.,0,snapt_balancer,
snapt.balancer.server.failed.header.rewriting.total,count,,,,Total number of failed header rewriting warnings.,0,snapt_balancer,
snapt.balancer.server.http.responses.total,count,,,,Total number of HTTP responses.,0,snapt_balancer,
snapt.balancer.server.idle.connections.current,gauge,,,,Current number of idle connections available for reuse.,0,snapt_balancer,
snapt.balancer.server.idle.connections.limit,gauge,,,,Limit on the number of available idle connections.,0,snapt_balancer,
snapt.balancer.server.internal.errors.total,count,,,,Total number of internal errors since process started (since >= 2.2).,0,snapt_balancer,
snapt.balancer.server.last.session.seconds,gauge,,,,Number of seconds since last session assigned to server/backend.,0,snapt_balancer,
snapt.balancer.server.limit.sessions,gauge,,,,Configured session limit.,0,snapt_balancer,
snapt.balancer.server.loadbalanced.total,count,,,,"Total number of times a service was selected, either for new sessions, or when redispatching.",0,snapt_balancer,
snapt.balancer.server.max.connect.time.seconds,gauge,,,,Maximum observed time spent waiting for a connection to complete,0,snapt_balancer,
snapt.balancer.server.max.queue,gauge,,,,Maximum observed number of queued requests.,0,snapt_balancer,
snapt.balancer.server.max.queue.time.seconds,gauge,,,,Maximum observed time spent in the queue,0,snapt_balancer,
snapt.balancer.server.max.response.time.seconds,gauge,,,,Maximum observed time spent waiting for a server response,0,snapt_balancer,
snapt.balancer.server.max.session.rate,gauge,,,,Maximum observed number of sessions per second.,0,snapt_balancer,
snapt.balancer.server.max.sessions,gauge,,,,Maximum observed number of active sessions.,0,snapt_balancer,
snapt.balancer.server.max.total.time.seconds,gauge,,,,Maximum observed total request+response time (request+queue+connect+response+processing),0,snapt_balancer,
snapt.balancer.server.need.connections.current,gauge,,,,Estimated needed number of connections (>= 2.3).,0,snapt_balancer,
snapt.balancer.server.queue.limit,gauge,,,,Configured maxqueue for the server (0 meaning no limit).,0,snapt_balancer,
snapt.balancer.server.queue.time.average.seconds,gauge,,,,Avg. queue time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.server.redispatch.warnings.total,count,,,,Total number of redispatch warnings.,0,snapt_balancer,
snapt.balancer.server.response.errors.total,count,,,,Total number of response errors.,0,snapt_balancer,
snapt.balancer.server.response.time.average.seconds,gauge,,,,Avg. response time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.server.responses.denied.total,count,,,,Total number of denied responses.,0,snapt_balancer,
snapt.balancer.server.safe.idle.connections.current,gauge,,,,Current number of safe idle connections (>= 2.3).,0,snapt_balancer,
snapt.balancer.server.retry.warnings.total,count,,,,Total number of retry warnings.,0,snapt_balancer,
snapt.balancer.server.server.aborts.total,count,,,,Total number of data transfers aborted by the server.,0,snapt_balancer,
snapt.balancer.server.server.idle.connections.current,gauge,,,,Current number of idle connections available for reuse,0,snapt_balancer,
snapt.balancer.server.server.idle.connections.limit,gauge,,,,Limit on the number of available idle connections,0,snapt_balancer,
snapt.balancer.server.sessions.total,count,,,,Total number of sessions.,0,snapt_balancer,
snapt.balancer.server.status,gauge,,,,"Current status of the service. <= 2.3: gauge value determines state (frontend: 0=STOP, 1=UP, 2=FULL - backend: 0=DOWN, 1=UP - server: 0=DOWN, 1=UP, 2=MAINT, 3=DRAIN, 4=NOLB). >= 2.4 per state label value.",0,snapt_balancer,
